controller,seed,survived,collapse_time,peak_A,min_temp,max_density,unsafe_time,control_energy,fusion_yield,yield_per_energy
PID,25,0,8.59,1.5500408941531165,0.727269478766991,1.1755086822644345,6.7430000000005865,5.7827011553199315,1.9025592237487854,0.32900874043429906
PID,26,0,8.594,1.5506169459843355,0.7568685808285136,1.15376268397579,5.145000000000053,5.560792297517282,2.430929355233269,0.4371552154324208
PID,27,0,8.48,1.5505425688917585,0.7549725630316272,1.1538392726018778,6.2310000000004155,5.34096157385157,2.3047272648882884,0.4315191623434098
PID,28,0,8.569,1.5521208706308836,0.8399654704940152,1.089786996844081,3.3629999999997406,6.048032439050752,4.487766507318144,0.742020905443504
PID,29,0,8.586,1.5505485894448554,0.8402731886567983,1.0944409734733718,2.0849999999998814,4.967600058710766,3.9725461445830876,0.7996912184622176
PID,30,0,8.504,1.5500299435129898,0.7617580911738819,1.149205064606939,6.256000000000424,5.256453860019585,2.337778037641449,0.4447443275356734
PID,31,0,8.52,1.5517132012904764,0.761840678180628,1.147591000527089,5.241000000000085,5.722741854873844,2.1912676007712792,0.3829051975360646
PID,32,0,8.448,1.5509348259950766,0.8816077838893827,1.0581098423694753,1.1129999999999882,5.269361879141379,5.13538063123636,0.9745735343381987
PID,33,0,8.772,1.550896471389436,0.8600240062686596,1.0803086634383714,0.5640000000000004,5.801658388759875,4.468342398183757,0.7701836437096217
PID,34,0,8.633000000000001,1.5505399159848237,0.8568334058887407,1.0813575117938041,2.259999999999862,5.125351816562561,4.893489948231491,0.9547617651267235
PID,35,0,8.592,1.5521041810670908,0.7403642640441409,1.1630521096607316,6.745000000000587,6.378486515469957,2.035129950009516,0.31906157436479415
PID,36,0,8.479000000000001,1.5505425010962113,0.8294626355272934,1.1019733567976886,3.0579999999997742,4.454625922740619,4.115648539519528,0.9239044108250404
PID,37,0,8.344,1.5504777230438767,0.7685782477987293,1.1408502422889018,5.354000000000123,5.127115342360865,2.698320908225077,0.5262844167762191
PID,38,0,8.532,1.5506625500711653,0.7919441372698951,1.1286501022423847,4.209999999999741,5.076641013304388,3.0476917054659363,0.600336265037944
PID,39,0,8.558,1.551040330757735,0.8008927740792734,1.1222060213966607,2.9299999999997883,5.1717920339486305,3.0725622052846213,0.5941001077618041
PID,40,0,8.557,1.5515107774419805,0.78297754826983,1.1338332259520318,4.5389999999998505,5.537697726638855,2.6972963225486604,0.4870790092218927
PID,41,0,8.46,1.5508483498870158,0.7987226241704913,1.1226796819525477,3.7359999999996996,4.862543040970759,3.2747666694521667,0.6734679037668577
PID,42,0,8.575000000000001,1.5506970546620573,0.7936196982994306,1.125104675794896,3.8349999999996887,5.876912610327661,3.1874128952594676,0.542361798798195
PID,43,0,8.587,1.551278336418549,0.8291531527468025,1.099537501383182,3.141999999999765,5.593623171681032,4.30378544424586,0.7694092561088718
PID,44,0,8.406,1.5525577979070442,0.8175565329407378,1.106393797571016,3.024999999999778,5.11604205288078,3.4020381071019115,0.664974617345315
PID,45,0,8.443,1.550829110107345,0.7838464180429353,1.1329612317167195,3.9899999999996716,4.9693249760945015,2.723597964729765,0.5480820790115072
PID,46,0,8.611,1.5503585430721165,0.7898748554489314,1.1302123451304995,5.0900000000000345,5.435509136506072,2.8543308317883715,0.5251266734321046
PID,47,0,8.518,1.5508049779100093,0.8109252906323519,1.1139025328508478,3.769999999999696,5.0655294324716245,3.691556968490678,0.728760343212673
PID,48,0,8.462,1.5518366100315197,0.7703724527773633,1.1411519095312945,5.1590000000000575,5.5831411433278175,2.426319256891254,0.43457960208587393
PID,49,0,8.66,1.5512713227821588,0.8160736253779388,1.1121239132809697,4.105999999999706,5.2890373728219195,3.7700678815357422,0.7128079487953112
PID,50,0,8.562,1.551818013684422,0.8266651455137464,1.0995271492293315,3.6099999999997134,5.966313386753301,4.029564610208533,0.6753860128232255
PID,51,0,8.492,1.5507087562799537,0.8049751329874713,1.1159093591886426,3.8289999999996893,5.4549072704070065,3.3554863801166377,0.615131699434213
PID,52,0,8.362,1.551534074628021,0.8141867780536515,1.1062773534969974,4.246999999999753,5.358739275288478,3.5019607291384878,0.6535045928870017
PID,53,0,8.456,1.5509133571493976,0.7661106734271498,1.1444077090065632,5.539000000000184,5.3403602442499425,2.432380447997362,0.4554712297098078
PID,54,0,8.417,1.5506299671671944,0.7438063577176226,1.160041887459953,6.560000000000525,5.4416491969260345,2.0259130765303466,0.372297625745974
PID,55,0,8.871,1.550111999317449,0.7832169929422849,1.138455632786665,4.92599999999998,6.365461135557664,3.353737747764884,0.5268648532788828
PID,56,0,8.672,1.5500390760956562,0.7556713271257179,1.1522229622463644,5.893000000000303,6.755635426825068,2.2300729298208606,0.33010557683969305
PID,57,0,8.507,1.5508456082837077,0.859708373903372,1.0736854895353414,0.4870000000000004,5.81924495708645,4.44315849979004,0.7635283497759973
PID,58,0,8.559000000000001,1.5508003773443328,0.8789907396989655,1.0637747494339516,1.486999999999947,5.100614356682424,5.42592621767994,1.063778956256032
PID,59,0,8.426,1.5500572324209514,0.8098979713612533,1.1136706379922174,4.515999999999843,4.830222067374669,3.586590206270324,0.7425311208263314
PID,60,0,8.684000000000001,1.550679679489503,0.831221105271555,1.099006041805417,2.604999999999824,5.87712489321376,4.4292147187116315,0.7536363100046337
PID,61,0,8.59,1.5510670128957849,0.7781282040484312,1.1378995824467553,4.6349999999998825,5.583895507790746,2.6965658334037528,0.4829183907826605
PID,62,0,8.373,1.5511966026884672,0.8421029387229303,1.087571303221714,2.6109999999998235,4.982001515785252,4.260611296191548,0.855200722407809
PID,63,0,8.611,1.5501040153504777,0.7478690212528759,1.1600245970712884,5.877000000000297,6.0917321050548585,2.539575877292027,0.4168889624623879
